audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0936.226.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0936.226.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0936.226.cbin.not.mat,notmat,11.902000000000001,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0938.238.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0938.238.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0938.238.cbin.not.mat,notmat,12.046,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0939.251.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0939.251.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0939.251.cbin.not.mat,notmat,13.192,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0940.254.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0940.254.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0940.254.cbin.not.mat,notmat,10.054,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0943.279.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0943.279.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0943.279.cbin.not.mat,notmat,13.290000000000001,0.002,train
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0944.286.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0944.286.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0944.286.cbin.not.mat,notmat,13.794,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0945.288.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0945.288.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0945.288.cbin.not.mat,notmat,12.672,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0946.293.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0946.293.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0946.293.cbin.not.mat,notmat,9.078,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0953.338.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0953.338.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0953.338.cbin.not.mat,notmat,13.586,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0953.342.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0953.342.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0953.342.cbin.not.mat,notmat,14.24,0.002,val
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0954.346.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0954.346.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0954.346.cbin.not.mat,notmat,10.554,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0955.354.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0955.354.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0955.354.cbin.not.mat,notmat,9.994,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0956.357.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0956.357.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0956.357.cbin.not.mat,notmat,15.67,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0956.362.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0956.362.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0956.362.cbin.not.mat,notmat,7.588,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0957.364.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0957.364.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0957.364.cbin.not.mat,notmat,14.468,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0957.369.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0957.369.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0957.369.cbin.not.mat,notmat,12.608,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0958.375.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0958.375.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0958.375.cbin.not.mat,notmat,8.978,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0959.384.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0959.384.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0959.384.cbin.not.mat,notmat,11.68,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1000.388.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1000.388.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1000.388.cbin.not.mat,notmat,9.458,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1001.395.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1001.395.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1001.395.cbin.not.mat,notmat,21.36,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1001.403.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1001.403.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1001.403.cbin.not.mat,notmat,6.256,0.002,val
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1002.405.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1002.405.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1002.405.cbin.not.mat,notmat,8.516,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1003.410.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1003.410.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1003.410.cbin.not.mat,notmat,10.414,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1003.418.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1003.418.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1003.418.cbin.not.mat,notmat,12.152000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1004.422.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1004.422.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1004.422.cbin.not.mat,notmat,7.968,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1004.423.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1004.423.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1004.423.cbin.not.mat,notmat,7.186,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1006.438.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1006.438.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1006.438.cbin.not.mat,notmat,12.362,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1007.445.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1007.445.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1007.445.cbin.not.mat,notmat,9.120000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1008.457.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1008.457.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1008.457.cbin.not.mat,notmat,11.222,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1010.473.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1010.473.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1010.473.cbin.not.mat,notmat,11.642,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1010.476.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1010.476.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1010.476.cbin.not.mat,notmat,11.174,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1013.489.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1013.489.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1013.489.cbin.not.mat,notmat,9.9,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1015.503.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1015.503.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1015.503.cbin.not.mat,notmat,8.902000000000001,0.002,val
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1016.506.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1016.506.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1016.506.cbin.not.mat,notmat,10.414,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1016.508.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1016.508.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1016.508.cbin.not.mat,notmat,10.828,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1018.524.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1018.524.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1018.524.cbin.not.mat,notmat,10.43,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1019.527.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1019.527.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1019.527.cbin.not.mat,notmat,12.468,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1025.552.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1025.552.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1025.552.cbin.not.mat,notmat,13.386000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1026.554.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1026.554.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1026.554.cbin.not.mat,notmat,10.482000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1029.564.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1029.564.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1029.564.cbin.not.mat,notmat,10.688,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1034.600.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1034.600.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1034.600.cbin.not.mat,notmat,9.684000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1036.610.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1036.610.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1036.610.cbin.not.mat,notmat,12.258000000000001,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1037.619.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1037.619.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1037.619.cbin.not.mat,notmat,10.712,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1038.629.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_1038.629.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_1038.629.cbin.not.mat,notmat,12.214,0.002,None
